"Backup options","Backup options","lib","lib/web/mage/adminhtml/backup.js"
"Warning","Opozorilo","lib","lib/web/mage/adminhtml/backup.js"
"Cancel","Prekliči","lib","lib/web/mage/adminhtml/backup.js"
"Ok","V redu","lib","lib/web/mage/adminhtml/backup.js"
"Insert Widget...","Vstavi pripomoček ...","lib","lib/web/mage/adminhtml/wysiwyg/widget.js"
"No records found.","Ni najdenih zapisov.","lib","lib/web/mage/backend/suggest.js"
"Recent items","Nedavni elementi","lib","lib/web/mage/backend/suggest.js"
"Show all...","Pokaži vse ...","lib","lib/web/mage/backend/suggest.js"
"Method %s does not exist on jQuery.decorate","Način %s ni na voljo v jQuery.decorate","lib","lib/web/mage/decorate.js"
"Close","Zapri","lib","lib/web/mage/dropdown.js"
"Next","Naslednja","lib","lib/web/mage/gallery/gallery.js"
"Previous","Prejšnja","lib","lib/web/mage/gallery/gallery.js"
"Please wait...","Počakajte ...","lib","lib/web/mage/loader.js"
"Loading...","Nalaganje...","lib","lib/web/mage/loader.js"
"Please wait...","Počakajte ...","lib","lib/web/mage/loader_old.js"
"Loading...","Nalaganje...","lib","lib/web/mage/loader_old.js"
"All ","Vse ","lib","lib/web/mage/menu.js"
"more","več","lib","lib/web/mage/menu.js"
"Cancel","Prekliči","lib","lib/web/mage/translate-inline-vde.js"
"Save","Shrani","lib","lib/web/mage/translate-inline-vde.js"
"Translate","Prevajanje","lib","lib/web/mage/translate-inline.js"
"Submit","Pošlji","lib","lib/web/mage/translate-inline.js"
"Close","Zapri","lib","lib/web/mage/translate-inline.js"
"Please enter a value less than or equal to %s.","Vnesite vrednost manjše kot ali enako za %s.","lib","lib/web/mage/validation.js"
"Please enter a value greater than or equal to %s.","Vnesite vrednost večje ali enako %s.","lib","lib/web/mage/validation.js"
"Maximum length of this field must be equal or less than %1 symbols.","Največja dolžina tega polja mora biti enaka ali manjša od %1 simbolov.","lib","lib/web/mage/validation.js"
"This is a required field.","To je zahtevano polje.","lib","lib/web/mage/validation.js"
"Please enter a date between %min and %max.","Vnesite datum med %min in %max.","lib","lib/web/mage/validation/validation.js"
"Please enter a valid year (1900-%1).","Vnesite veljavno leto (1900-%1).","lib","lib/web/mage/validation/validation.js"
"Please enter a valid day (1-%1).","Vnesite veljaven dan (1-%1).","lib","lib/web/mage/validation/validation.js"
"Please enter a date from the past.","Vnesite datum iz preteklosti.","lib","lib/web/mage/validation/validation.js"
