"Read Details","Preberite podrobnosti",module,Magento_AdminNotification
"Mark as Read","Označi kot prebrano",module,Magento_AdminNotification
"Are you sure?","Ali ste prepričani?",module,Magento_AdminNotification
"Remove","Odstrani",module,Magento_AdminNotification
"Messages Inbox","Prejeta sporočila",module,Magento_AdminNotification
"You have %1 new system messages","Imate %1 novih sistemskih sporočil",module,Magento_AdminNotification
"You have %1 new system message","Imate %1 novo sistemsko sporočilo",module,Magento_AdminNotification
"Incoming Message","Dohodna sporočila",module,Magento_AdminNotification
"close","zapri",module,Magento_AdminNotification
"Notifications","Obvestila",module,Magento_AdminNotification
"The message has been marked as Read.","Sporočilo ste označili kot prebrano.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Obvestila zaradi napake nismo uspeli označiti kot prebranega.",module,Magento_AdminNotification
"Please select messages.","Izberite sporočila.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Skupaj %1 zapisov je bilo označenin kot prebrana.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Odstranjenih je bilo skupaj %1 zapisov.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Sporočil zaradi napake nismo mogli odstraniti.",module,Magento_AdminNotification
"The message has been removed.","Sporočilo je bilo odstranjeno.",module,Magento_AdminNotification
"1 Hour","1 ura",module,Magento_AdminNotification
"2 Hours","2 uri",module,Magento_AdminNotification
"6 Hours","6 ur",module,Magento_AdminNotification
"12 Hours","12 ur",module,Magento_AdminNotification
"24 Hours","24 ur",module,Magento_AdminNotification
"critical","kritično",module,Magento_AdminNotification
"major","večje",module,Magento_AdminNotification
"minor","manjše",module,Magento_AdminNotification
"notice","obvestilo",module,Magento_AdminNotification
"Wrong message type","Napačna vrsta sporočila",module,Magento_AdminNotification
"Wrong notification ID specified.","Naveden je napačen ID obvestila.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} v produkcijskem okolju ni priporočljivo uporabiti za določitev osnovnega nezaščitenega URL / osnovni varni URL. Priporočamo, da v vaših Magento <a href=""%1"">nastavitvah</a> to vrednost spremenite.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Ena ali več vrst predpomnilnika je neveljavnih: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Pojdite na <a href=""%1"">Upravljanje predpomnilnika</a> in osvežite vrste predpomnilnika.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Ene ali več datotek nismo uspeli sinhronizirati. Za podrobnosti si oglejte dnevniško datoteko.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Sinhronizacija medijev shrambe je zaključena.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Spletni strežnik je napačno nastavljen in omogoča dostop do občutljivih podatkov. Obrnite se na svojega ponudnika gostovanja.",module,Magento_AdminNotification
"Close popup","Zapri popup",module,Magento_AdminNotification
"Close","Zapri",module,Magento_AdminNotification
"System Messages:","Sistemska sporočila:",module,Magento_AdminNotification
"Critical System Messages","Kritična sistemska sporočila",module,Magento_AdminNotification
"Major System Messages","Glavna sistemska sporočila",module,Magento_AdminNotification
"System messages","Sistemska sporočila",module,Magento_AdminNotification
"See All (","Glej vse (",module,Magento_AdminNotification
" unread)"," neprebrano)",module,Magento_AdminNotification
"Show Toolbar","Show Toolbar",module,Magento_AdminNotification
"Show List","Show List",module,Magento_AdminNotification
"Use HTTPS to Get Feed","Za vir uporabi HTTPS",module,Magento_AdminNotification
"Update Frequency","Posodobi pogostost",module,Magento_AdminNotification
"Last Update","Zadnja posodobitev",module,Magento_AdminNotification
"Severity","Resnost",module,Magento_AdminNotification
"Date Added","Datum dodajanja",module,Magento_AdminNotification
"Message","Sporočilo",module,Magento_AdminNotification
"Actions","Dejanja",module,Magento_AdminNotification
