"Invalid Form Key. Please refresh the page.","Neveljaven ključ obrazca. Osvežite stran.",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","Vnesli ste neveljaven skrivni ključ. Osvežite stran.",module,Magento_Backend
"Cache Storage Management","Upravljanje predpomnilnika shrambe",module,Magento_Backend
"Flush Magento Cache","Izprazni predpomnilnik Magento",module,Magento_Backend
"The cache storage may contain additional data. Are you sure that you want to flush it?","Predpomnilnik shrambe lahko vsebuje dodatne podatke. Ali ste prepričani, da ga želite izprazniti?",module,Magento_Backend
"Flush Cache Storage","Izpraznite predpomnilnik shrambe",module,Magento_Backend
"Invalidated","Razveljavljeno",module,Magento_Backend
"Orders","Naročila",module,Magento_Backend
"Amounts","Zneski",module,Magento_Backend
"Bestsellers","Uspešnice",module,Magento_Backend
"Most Viewed Products","Najbolj pogledani izdelki",module,Magento_Backend
"New Customers","Nove stranke",module,Magento_Backend
"Customers","Stranke",module,Magento_Backend
"Customer","Stranka",module,Magento_Backend
"Guest","Gost",module,Magento_Backend
"Items","Elementi",module,Magento_Backend
"Total","Skupaj",module,Magento_Backend
"Lifetime Sales","Prodaja celotne življenjske dobe",module,Magento_Backend
"Average Order","Povprečno naročilo",module,Magento_Backend
"Average","Povprečje",module,Magento_Backend
"Product","Izdelek",module,Magento_Backend
"Price","Cena",module,Magento_Backend
"Quantity","Količina",module,Magento_Backend
"Views","Ogledov",module,Magento_Backend
"Revenue","Prihodki",module,Magento_Backend
"Tax","Davek",module,Magento_Backend
"Shipping","Dostava",module,Magento_Backend
"Images (.gif, .jpg, .png)","Slike (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Mediji (.avi, .flv, .swf)",module,Magento_Backend
"All Files","Vse datoteke",module,Magento_Backend
"Reset to Default","Ponastavi na privzeto",module,Magento_Backend
"All Store Views","Ogledi celotne trgovine",module,Magento_Backend
"What is this?","Kaj je to?",module,Magento_Backend
"Save Account","Shranite račun",module,Magento_Backend
"My Account","Moj račun",module,Magento_Backend
"Account Information","Informacije o računu",module,Magento_Backend
"User Name","Uporabniško ime",module,Magento_Backend
"First Name","Ime",module,Magento_Backend
"Last Name","Priimek",module,Magento_Backend
"Email","E-pošta",module,Magento_Backend
"User Email","E-pošta uporabnika",module,Magento_Backend
"New Password","Novo geslo",module,Magento_Backend
"Password Confirmation","Potrditev gesla",module,Magento_Backend
"Interface Locale","Območne nastavitve vmesnika",module,Magento_Backend
"Current User Identity Verification","Preverjanje identitete trenutnega uporabnika",module,Magento_Backend
"Your Password","Vaše geslo",module,Magento_Backend
"Save Cache Settings","Shrani nastavitve predpomnilnika",module,Magento_Backend
"Catalog Rewrites","Prepisi kataloga",module,Magento_Backend
"Refresh","Osveži",module,Magento_Backend
"Images Cache","Predpomnilnik slik",module,Magento_Backend
"Clear","Počisti",module,Magento_Backend
"Search Index","Indeks iskanja",module,Magento_Backend
"Rebuild","Obnovi",module,Magento_Backend
"Inventory Stock Status","Stanje popisa zaloge",module,Magento_Backend
"Rebuild Catalog Index","Znova zgradite index kataloga",module,Magento_Backend
"Rebuild Flat Catalog Category","Znova zgradite kategorijo ravnega kataloga",module,Magento_Backend
"Rebuild Flat Catalog Product","Znova zgradite izdelek ravnega kataloga",module,Magento_Backend
"Cache Control","Nadzor predpomnilnika",module,Magento_Backend
"All Cache","Celoten predpomnilnik",module,Magento_Backend
"No change","Brez sprememb",module,Magento_Backend
"Disable","Onemogoči",module,Magento_Backend
"Enable","Omogoči",module,Magento_Backend
"Add Design Change","Dodaj spremembo oblike",module,Magento_Backend
"Back","Nazaj",module,Magento_Backend
"Delete","Izbriši",module,Magento_Backend
"Are you sure?","Ali ste prepričani?",module,Magento_Backend
"Save","Shrani",module,Magento_Backend
"Edit Design Change","Uredi spremembo oblike",module,Magento_Backend
"New Store Design Change","Sprememba oblike nove trgovine",module,Magento_Backend
"General Settings","Splošne nastavitve",module,Magento_Backend
"Store","Trgovina",module,Magento_Backend
"-- Please Select --","-- Izberite --",module,Magento_Backend
"Custom Design","Oblika po meri",module,Magento_Backend
"Date From","Datum od",module,Magento_Backend
"Date To","Datum do",module,Magento_Backend
"Design Change","Sprememba oblike",module,Magento_Backend
"General","Splošno",module,Magento_Backend
"Cancel","Prekliči",module,Magento_Backend
"Delete %1 '%2'","Izbriši %1 ""%2""",module,Magento_Backend
"Delete %1","Izbriši %1",module,Magento_Backend
"Block Information","Informacije bloka",module,Magento_Backend
"Backup Options","Možnosti varnostnega kopiranja",module,Magento_Backend
"Create DB Backup","Ustvarite varnostno kopijo DB",module,Magento_Backend
