"Country","Država",module,Magento_Braintree
"Allowed Credit Card Types","Dovoljene vrste kreditnih kartic",module,Magento_Braintree
"Add Rule","Dodaj pravilo",module,Magento_Braintree
"Braintree Settlement Report","Poročilo poravnave Braintree",module,Magento_Braintree
"Sorry, but something went wrong","Se opravičujemo, vendar nekaj ni v redu",module,Magento_Braintree
"Month","Mesec",module,Magento_Braintree
"Year","Leto",module,Magento_Braintree
"Stored Card","Shranjena kartica",module,Magento_Braintree
"Credit Card Type","Vrsta kreditne kartice",module,Magento_Braintree
"Credit Card Number","Številka kreditne kartice",module,Magento_Braintree
"Credit card successfully added","Kreditne kartice uspešno dodana",module,Magento_Braintree
"Something went wrong while saving the card.","Med shranjevanjem kartice je šlo nekaj narobe.",module,Magento_Braintree
"Credit card does not exist","Kreditna kartica ne obstaja",module,Magento_Braintree
"Delete Credit Card","Izbrišite kreditno kartico",module,Magento_Braintree
"There was error deleting the credit card","Pri brisanju kreditne kartice je prišlo do napake",module,Magento_Braintree
"Credit card successfully deleted","Kreditna kartica je uspešno izbrisana",module,Magento_Braintree
"Edit Credit Card","Urejanje kreditne kartice",module,Magento_Braintree
"My Credit Cards","Moje kreditne kartice",module,Magento_Braintree
"New Credit Card","Nova kreditna kartica",module,Magento_Braintree
"There was error during saving card data","Med shranjevanjem podatkov kartice je prišlo do napake",module,Magento_Braintree
"We can't initialize checkout.","Nakupa ne moremo inicializirati.",module,Magento_Braintree
"No authorization transaction to proceed capture.","Za nadaljevanje zajemanja ni avtorizacijske transkacije.",module,Magento_Braintree
"Braintree error response.","Napaka odziva Braintree.",module,Magento_Braintree
"Payment method nonce can't be retrieved.","Enkratnika načina plačila ni mogoče pridobiti.",module,Magento_Braintree
"Wrong transaction status","Napačen status transakcije",module,Magento_Braintree
"Please agree to all the terms and conditions before placing the order.","Preden oddate naročilo, se morate strinjati z vsemi pravili in pogoji.",module,Magento_Braintree
"We can\'t place the order.","Naročila ni mogoče oddati.",module,Magento_Braintree
"Incorrect payment method.","Napačen način plačila.",module,Magento_Braintree
"We can\'t initialize checkout review.","Pregleda nakupa ni mogoče inicializirati.",module,Magento_Braintree
"We can\'t update shipping method.","Načina dostave ni mogoče posodobiti.",module,Magento_Braintree
"The processor declined your transaction, please re-enter your payment information","Procesor je zavrnil vašo transakcijo, znova vnesite podatke za plačilo",module,Magento_Braintree
"Transaction declined by gateway: Check card details or try another card","Transakcija zavrnjena na prehodu: Preverite podatke kartice ali poskusite drugo kartico",module,Magento_Braintree
"Transaction declined: ","Transakcija zavrnjena: ",module,Magento_Braintree
".",".",module,Magento_Braintree
"The processor responded with an unknown error","Procesor je odgovoril z neznano napako",module,Magento_Braintree
"Credit card type is not allowed for your country.","Vrsta kreditne kartice ni dovoljena za vašo državo.",module,Magento_Braintree
"Credit card type is not allowed for this payment method.","Vrsta kreditne kartice ni dovoljena za ta način plačila.",module,Magento_Braintree
"Selected payment type is not allowed for billing country.","Izbrani način plačila ni dovoljen za račun države.",module,Magento_Braintree
"Incomplete payment information.","Nepopolne informacije plačila.",module,Magento_Braintree
"Please try again later","Poskusite znova pozneje",module,Magento_Braintree
"Can not find original authorization transaction for partial capture","Izvirne transakcije dovoljenja za delni zajem ni mogoče najti",module,Magento_Braintree
"There was an error capturing the transaction: %1.","Pri zajemanju transakcije je prišlo do napake: %1.",module,Magento_Braintree
"This refund is for a partial amount but the Transaction has not settled.","To nadomestilo je za delni znesek, vendar transakcija še ni poravnana.",module,Magento_Braintree
"Please wait 24 hours before trying to issue a partial refund.","Prosimo, počakajte 24 ur preden izdajate delno povračilo.",module,Magento_Braintree
