"Entity type model \'%1\' is not found","Modela vrste entitete \'%1\' ni mogoče najti",module,Magento_CatalogImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Model vrste entitete mora biti instanca \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento_CatalogImportExport
"There are no product types available for export.","Za izvoz ni na voljo nobenih vrst izdelkov.",module,Magento_CatalogImportExport
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Model vrste entitete mora biti instanca Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType",module,Magento_CatalogImportExport
"File directory \'%1\' is not readable.","Imenik datotek \'%1\' ni berljiv.",module,Magento_CatalogImportExport
"File directory \'%1\' is not writable.","Imenik datotek \'%1\' ni zapisljiv.",module,Magento_CatalogImportExport
"Value for \'price\' sub attribute in \'store\' attribute contains incorrect value","Vrednost za podatribut \'price\' v atributu \'store\' vsebuje napačno vrednost",module,Magento_CatalogImportExport
"Value for \'type\' sub attribute in \'custom_options\' attribute contains incorrect value, acceptable values are: \'dropdown\', \'checkbox\'","Vrednost za \'type\' podatribut v atributu \'custom_options\' vsebuje napačno vrednost, sprejemljive vrednosti so: \'dropdown\', \'checkbox\'",module,Magento_CatalogImportExport
"Please enter a value for title.","Vnesite vrednost za naslov.",module,Magento_CatalogImportExport
"Value for \'price\' sub attribute in \'custom_options\' attribute contains incorrect value","Vrednost za podatribut \'price\' v atributu \'custom_options\' vsebuje napačno vrednost",module,Magento_CatalogImportExport
"Value for \'maximum characters\' sub attribute in \'custom_options\' attribute contains incorrect value","Vrednost za podatribut \'maximum characters\' v atributu \'custom_options\' vsebuje napačno vrednost",module,Magento_CatalogImportExport
"Value for \'sort order\' sub attribute in \'custom_options\' attribute contains incorrect value","Vrednost za podatribut \'sort order\' v atributu \'custom_options\' vsebuje napačno vrednost",module,Magento_CatalogImportExport
"Value for \'value price\' sub attribute in \'custom_options\' attribute contains incorrect value","Vrednost za podatribut \'value price\' v atributu \'custom_options\' vsebuje napačno vrednost",module,Magento_CatalogImportExport
"This name is already being used for custom option. Please enter a different name.","To ime je že uporabljeno za možnosti po meri. Vnesite drugo ime.",module,Magento_CatalogImportExport
"Custom options have different types.","Možnosti po meri imajo različne vrste.",module,Magento_CatalogImportExport
"Every option entity must have a parent product entity.","Vsaka entiteta možnosti mora imeti nadrejeno entiteto izdelka.",module,Magento_CatalogImportExport
"Please correct the parameters.","Popravite parametre.",module,Magento_CatalogImportExport
"File \'%1\' was not found or has read restriction.","Datoteke \'%1\' ni bilo mogoče najti, ali pa ima omejitev branja.",module,Magento_CatalogImportExport
"Entity type model '%1' is not found","Entity type model '%1' is not found",module,Magento_CatalogImportExport
"Category ""%1"" has not been created.","Kategorija ""%1"" ni bila ustvarjena.",module,Magento_CatalogImportExport
"File directory '%1' is not readable.","File directory '%1' is not readable.",module,Magento_CatalogImportExport
"File directory '%1' is not writable.","File directory '%1' is not writable.",module,Magento_CatalogImportExport
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Value for 'price' sub attribute in 'store' attribute contains incorrect value",module,Magento_CatalogImportExport
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'",module,Magento_CatalogImportExport
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value",module,Magento_CatalogImportExport
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value",module,Magento_CatalogImportExport
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value",module,Magento_CatalogImportExport
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value",module,Magento_CatalogImportExport
"File '%1' was not found or has read restriction.","File '%1' was not found or has read restriction.",module,Magento_CatalogImportExport
