"Home","Domov",module,Magento_CatalogSearch
"Go to Home Page","Pojdite na domačo stran",module,Magento_CatalogSearch
"Catalog Advanced Search","Napredno iskanje po katalogu",module,Magento_CatalogSearch
"All","Vse",module,Magento_CatalogSearch
"Yes","Da",module,Magento_CatalogSearch
"No","Ne",module,Magento_CatalogSearch
"Results","Rezultati",module,Magento_CatalogSearch
"Grid","Mreža",module,Magento_CatalogSearch
"List","Seznam",module,Magento_CatalogSearch
"Search Weight","Teža iskanja",module,Magento_CatalogSearch
"Relevance","Ustreznost",module,Magento_CatalogSearch
"Search results for: '%1'","Iskanje rezultatov za: '%1'",module,Magento_CatalogSearch
"Minimum Search query length is %1","Najmanjša dolžina Iskanje poizvedbe je %1",module,Magento_CatalogSearch
"Please specify at least one search term.","Navedite vsaj en iskani izraz.",module,Magento_CatalogSearch
"%1 and greater","%1 in večje",module,Magento_CatalogSearch
"up to %1","do %1",module,Magento_CatalogSearch
"Category","Kategorija",module,Magento_CatalogSearch
"%1 and above","%1 in več",module,Magento_CatalogSearch
"%1 - %2","%1 - %2",module,Magento_CatalogSearch
"Bucket do not exists","Vedro ne obstaja",module,Magento_CatalogSearch
"Product","Izdelek",module,Magento_CatalogSearch
"Search Settings","Nastavitve iskanja",module,Magento_CatalogSearch
"Search","Iskanje",module,Magento_CatalogSearch
"Advanced Search","Napredno iskanje",module,Magento_CatalogSearch
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 element</strong> je bil najden z uporabo sledečih iskalnih pogojev",module,Magento_CatalogSearch
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 elementov</strong> je bilo najdenih z uporabo sledečih iskalnih pogojev",module,Magento_CatalogSearch
"We can't find any items matching these search criteria.","Ni mogoče najti nobenega elementa, ki ustreza iskalnim pogojem.",module,Magento_CatalogSearch
"Modify your search","Spremeniti vaše iskanje",module,Magento_CatalogSearch
"name","ime",module,Magento_CatalogSearch
"Don't see what you're looking for?","Ne najdete kar iščete?",module,Magento_CatalogSearch
"Your search returned no results.","Vaše iskanje ni vrnilo rezultatov.",module,Magento_CatalogSearch
"Popular Search Terms","Priljubljeni nizi iskanja",module,Magento_CatalogSearch
"Catalog Search","Iskanje po katalogu",module,Magento_CatalogSearch
"Minimal Query Length","Najmanjša dolžina poizvedbe",module,Magento_CatalogSearch
"Maximum Query Length","Največja dolžina poizvedbe",module,Magento_CatalogSearch
"Rebuild Catalog product fulltext search index","Ponovna gradnja fulltext indeksa iskanja po izdelkih kataloga",module,Magento_CatalogSearch
"Sorry, something went wrong. You can find out more in the error log.","Se opravičujemo, nekaj je šlo narobe. Več lahko izveste v dnevniku napak.",module,Magento_CatalogSearch
"Bucket does not exist","Vedro ne obstaja",module,Magento_CatalogSearch
"Modify your search.","Spremenite vaše iskanje.",module,Magento_CatalogSearch
