"Add configurable attributes to the current Attribute Set (""%1"")","Dodaj nastavljive atribute trenutnemu naboru atributov (""%1"")",module,Magento_ConfigurableProduct
"Add configurable attributes to the new Attribute Set based on current","Dodaj nastavljive atribute novemu naboru atributov, ki temelji na trenutnem",module,Magento_ConfigurableProduct
"New attribute set name","Novo ime nabora atributov",module,Magento_ConfigurableProduct
"Add configurable attributes to the existing Attribute Set","Dodaj nastavljive atribute obstoječemu naboru atributov",module,Magento_ConfigurableProduct
"Choose existing Attribute Set","Izberite obstoječi nabor atributov",module,Magento_ConfigurableProduct
"Configurations","Konfiguracije",module,Magento_ConfigurableProduct
"Attribute Values","Vrednosti atributov",module,Magento_ConfigurableProduct
"productFactory is already set","productFactory je že nastavljen",module,Magento_ConfigurableProduct
"catalogProductMediaConfig is already set","catalogProductMediaConfig je že nastavljen",module,Magento_ConfigurableProduct
"Bulk Images &amp; Price","Več slik &amp; cena",module,Magento_ConfigurableProduct
"Create New Attribute","Ustvari nov atribut",module,Magento_ConfigurableProduct
"Select Attributes","Izberite atribute",module,Magento_ConfigurableProduct
"Summary","Povzetek",module,Magento_ConfigurableProduct
"Choose an Option...","Izberite možnost...",module,Magento_ConfigurableProduct
"This attribute is used in configurable products.","Ta atribut je uporabljen v nastavljivih izdelkih.",module,Magento_ConfigurableProduct
"Product has been already attached","Izdelek je bil že priključen",module,Magento_ConfigurableProduct
"Product with specified sku: %1 is not a configurable product","Izdelek z določenim SKU: %1 ni nastavljivi izdelek",module,Magento_ConfigurableProduct
"Requested option doesn\'t exist","Zahtevana možnost ne obstaja",module,Magento_ConfigurableProduct
"Requested option doesn\'t exist: %1","Zahtevana možnost ne obstaja: %1",module,Magento_ConfigurableProduct
"Cannot delete variations from product: %1","Variacij ni mogoče izbrisati iz izdelka: %1",module,Magento_ConfigurableProduct
"Cannot delete option with id: %1","Možnosti z ID %1 ni mogoče izbrisati",module,Magento_ConfigurableProduct
"Option with id ""%1"" not found","Možnosti z ID ""%1"" ni mogoče najti",module,Magento_ConfigurableProduct
"Could not update option with id ""%1""","Možnosti z ID ""%1"" ni bilo mogoče posodobiti",module,Magento_ConfigurableProduct
"Product already has this option","Izdelek že ima to možnost",module,Magento_ConfigurableProduct
"Something went wrong while saving option.","Med shranjevanjem možnosti je šlo nekaj narobe.",module,Magento_ConfigurableProduct
"Only implemented for configurable product: %1","Uporabljeno samo za nastavljivi izdelek: %1",module,Magento_ConfigurableProduct
"Option attribute ID is not specified.","ID atributa možnosti ni naveden.",module,Magento_ConfigurableProduct
"Option label is not specified.","Oznaka možnosti ni določena.",module,Magento_ConfigurableProduct
"Option values are not specified.","Vrednosti možnosti niso določene.",module,Magento_ConfigurableProduct
"Value index is not specified for an option.","Indeks vrednosti ni določen za možnost.",module,Magento_ConfigurableProduct
"The configurable product does not have any variation attribute.","Nastavljivi izdelek nima nobenega atributa variacije.",module,Magento_ConfigurableProduct
"Product with id ""%1"" does not exist.","Izdelek z ID ""%1"" ne obstaja.",module,Magento_ConfigurableProduct
"Product with id ""%1"" does not contain required attribute ""%2"".","Izdelek z ID ""%1"" ne vsebuje zahtevanega atributa ""%2"".",module,Magento_ConfigurableProduct
"Products ""%1"" and %2 have the same set of attribute values.","Izdelka ""%1"" in %2 imata enak nabor vrednosti atributov.",module,Magento_ConfigurableProduct
"You can\'t add the item to shopping cart.","Elementa ne morete dodati v košarico.",module,Magento_ConfigurableProduct
"You need to choose options for your item.","Izbrati morate možnosti za vaš element.",module,Magento_ConfigurableProduct
"Some product variations fields are not valid.","Nekatera polja variacij produktov niso veljavna.",module,Magento_ConfigurableProduct
"Configuration must have specified attributes","Konfiguracija mora imeti določene atribute",module,Magento_ConfigurableProduct
"Configurable product ""%1"" do not have sub-products","Nastavljivi izdelek ""%1"" nima podproizvodov",module,Magento_ConfigurableProduct
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Ta skupina vsebuje atribute, ki se uporabljajo v nastavljivih izdelkih. Prosimo, premaknite te atribute v drugo skupino in poskusite znova.",module,Magento_ConfigurableProduct
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Ta atribut je uporabljen v nastavljivih izdelkih. Ne morete ga odstraniti iz nabora atributov.",module,Magento_ConfigurableProduct
"Associated Products","Povezani izdelki",module,Magento_ConfigurableProduct
"Step 2: Attribute Values","2. korak: Vrednosti atributov",module,Magento_ConfigurableProduct
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Izberite vrednosti iz vsakega atributa, da jih vključite v ta izdelek. Vsaka edinstvena kombinacija vrednosti ustvari edinstven SKU izdelka.",module,Magento_ConfigurableProduct
"Sort Variations","Variacije razvrščanja",module,Magento_ConfigurableProduct
"Options","Možnosti",module,Magento_ConfigurableProduct
"Select All","Izberi vse",module,Magento_ConfigurableProduct
"Deselect All","Odznači vse",module,Magento_ConfigurableProduct
"Remove Attribute","Odstrani atribut",module,Magento_ConfigurableProduct
"Save Option","Shrani možnost",module,Magento_ConfigurableProduct
"Remove Option","Odstrani možnost",module,Magento_ConfigurableProduct
"Create New Value","Ustvari novo vrednost",module,Magento_ConfigurableProduct
"Step 3: Bulk Images, Price, and Quantity","3. korak: Množične slike, cena in količina",module,Magento_ConfigurableProduct
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","Na osnovi vaših izbir <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        bodo ustvarjeni novi izdelki. Uporabite ta korak, da prilagodite slike in ceno za vaše nove izdelke.",module,Magento_ConfigurableProduct
"Images","Slike",module,Magento_ConfigurableProduct
"Apply single set of images to all SKUs","Uporabi enojno zbirko slik za vse SKU",module,Magento_ConfigurableProduct
"Apply unique images by attribute to each SKU","Uporabi edinstvene slike glede na atribut za vsak SKU",module,Magento_ConfigurableProduct
"Skip image uploading at this time","Trenutno preskoči nalaganje slike",module,Magento_ConfigurableProduct
"Browse Files...","Prebrskaj datoteke...",module,Magento_ConfigurableProduct
"Browse to find or drag image here","Prebrskajte, da najdete ali povlecite sliko sem",module,Magento_ConfigurableProduct
"Remove image","Odstrani sliko",module,Magento_ConfigurableProduct
"Edit role","Urejanje vloge",module,Magento_ConfigurableProduct
"Hidden","Skrito",module,Magento_ConfigurableProduct
"Alt Text","Nadomestno besedilo",module,Magento_ConfigurableProduct
"Role","Vloga",module,Magento_ConfigurableProduct
"Hide from Product Page","Skrij iz strani izdelka",module,Magento_ConfigurableProduct
"Select attribute","Izberite atribut",module,Magento_ConfigurableProduct
