"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Izberite to, da dovolite DHL optimizacijo stroškov prevoza z razdelitvijo naročila, če presega %1 %2.",module,Magento_Dhl
"Wrong Content Type","Napačna vrsta vsebine",module,Magento_Dhl
"Pounds","Funti",module,Magento_Dhl
"Kilograms","Kilogrami",module,Magento_Dhl
"Inches","Palci",module,Magento_Dhl
"Centimeters","Centimetri",module,Magento_Dhl
"inch","palec",module,Magento_Dhl
"cm","cm",module,Magento_Dhl
"Height","Višina",module,Magento_Dhl
"Depth","Globina",module,Magento_Dhl
"Width","Širina",module,Magento_Dhl
"Regular","Redno",module,Magento_Dhl
"Specific","Posebno",module,Magento_Dhl
"Easy shop","Enostavna trgovina",module,Magento_Dhl
"Sprintline","Sprintline",module,Magento_Dhl
"Secureline","Secureline",module,Magento_Dhl
"Express easy","Express enostavno",module,Magento_Dhl
"Europack","Europack",module,Magento_Dhl
"Break bulk express","Break bulk express",module,Magento_Dhl
"Medical express","Medical express",module,Magento_Dhl
"Express worldwide","Express worldwide",module,Magento_Dhl
"Express 9:00","Express 9:00",module,Magento_Dhl
"Express 10:30","Express 10:30",module,Magento_Dhl
"Domestic economy select","Domestic economy select",module,Magento_Dhl
"Economy select","Economy select",module,Magento_Dhl
"Break bulk economy","Break bulk economy",module,Magento_Dhl
"Domestic express","Domestic express",module,Magento_Dhl
"Others","Ostalo",module,Magento_Dhl
"Globalmail business","Globalmail business",module,Magento_Dhl
"Same day","Isti dan",module,Magento_Dhl
"Express 12:00","Express 12:00",module,Magento_Dhl
"Express envelope","Express ovojnica",module,Magento_Dhl
"Customer services","Storitve za stranke",module,Magento_Dhl
"Jetline","Jetline",module,Magento_Dhl
"Freight worldwide","Freight worldwide",module,Magento_Dhl
"Jumbo box","Jumbo box",module,Magento_Dhl
"DHL service is not available at %s date","DHL storitev ni na voljo za datum %s",module,Magento_Dhl
"The response is in wrong format.","Odziv je v nepravilni obliki.",module,Magento_Dhl
"Error #%1 : %2","Napaka #%1 : %2",module,Magento_Dhl
"We had to skip DHL method %1 because we couldn\'t find exchange rate %2 (Base Currency).","Morali smo preskočiti DHL metodo %1, ker ni bilo mogoče najti menjalniškega tečaja %2 (osnovna valuta).",module,Magento_Dhl
"Zero shipping charge for '%1'","Brez stroškov pošiljanja za '%1'",module,Magento_Dhl
"DHL","DHL",module,Magento_Dhl
"Cannot identify measure unit for %1","Merske enote za %1 ni mogoče prepoznati",module,Magento_Dhl
"Cannot identify weight unit for %1","Enote teže za %1 ni mogoče prepoznati",module,Magento_Dhl
"There is no items in this order","V tem naročilu ni nobenih elementov",module,Magento_Dhl
"Please, specify origin country","Prosimo, navedite državo izvora",module,Magento_Dhl
"Documents","Dokumenti",module,Magento_Dhl
"Non Documents","Niso dokumenti",module,Magento_Dhl
"Height, width and length should be equal or greater than %1","Višina, širina in dolžina morajo biti enake ali večje od %1",module,Magento_Dhl
"Wrong Region","Napačna regija",module,Magento_Dhl
"Unable to retrieve tracking","Sledenja ni mogoče pridobiti",module,Magento_Dhl
"Response is in the wrong format","Odgovor je napačne oblike",module,Magento_Dhl
"No packages for request","Za zahtevo ni nobenega paketa",module,Magento_Dhl
"Unable to retrieve shipping label","Oznake pošiljanja ni mogoče pridobiti",module,Magento_Dhl
"Non documents","Niso dokumenti",module,Magento_Dhl
"None","Brez",module,Magento_Dhl
"Enabled for Checkout","Enabled for Checkout",module,Magento_Dhl
"Gateway URL","Gateway URL",module,Magento_Dhl
"Title","Naslov",module,Magento_Dhl
"Access ID","ID dostopa",module,Magento_Dhl
"Password","Geslo",module,Magento_Dhl
"Account Number","Številka računa",module,Magento_Dhl
"Content Type","Vrsta vsebine",module,Magento_Dhl
"Calculate Handling Fee","Izračun takse za stroške obdelave",module,Magento_Dhl
"Handling Applied","Uporabljena obdelava",module,Magento_Dhl
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.",module,Magento_Dhl
"Handling Fee","Taksa za stroške obdelave",module,Magento_Dhl
"Divide Order Weight","Razdeli težo naročila",module,Magento_Dhl
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.",module,Magento_Dhl
"Weight Unit","Enota teže",module,Magento_Dhl
"Size","Size",module,Magento_Dhl
"Allowed Methods","Dovoljene metode",module,Magento_Dhl
"Displayed Error Message","Prikazano sporočilo napake",module,Magento_Dhl
"Free Method","Brezplačen način",module,Magento_Dhl
"Free Shipping Amount Threshold","Free Shipping Amount Threshold",module,Magento_Dhl
"Ship to Applicable Countries","Ship to Applicable Countries",module,Magento_Dhl
"Ship to Specific Countries","Ship to Specific Countries",module,Magento_Dhl
"Show Method if Not Applicable","Show Method if Not Applicable",module,Magento_Dhl
"Sort Order","Vrstni red",module,Magento_Dhl
"Debug","Debug",module,Magento_Dhl
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).",module,Magento_Dhl
"Please specify origin country.","Please specify origin country.",module,Magento_Dhl
"Field ","Field ",module,Magento_Dhl
" is required."," is required.",module,Magento_Dhl
"Enable Free Shipping Threshold","Enable Free Shipping Threshold",module,Magento_Dhl
