"State/Province","Država/območje",module,Magento_Directory
"--Please Select--","--Izberite--",module,Magento_Directory
"lbs","lb",module,Magento_Directory
"kgs","kg",module,Magento_Directory
"Requested country is not available.","Zahtevana država ni na voljo.",module,Magento_Directory
"Please correct the target currency.","Popravite ciljno valuto.",module,Magento_Directory
"Undefined rate from ""%1-%2"".","Nedoločena stopnja od ""%1-%2"".",module,Magento_Directory
"label","oznaka",module,Magento_Directory
"We can\'t retrieve a rate from %1.","Stopnje od %1 ni mogoče pridobiti.",module,Magento_Directory
"FATAL ERROR:","USODNA NAPAKA:",module,Magento_Directory
"We can\'t initialize the import model.","Modela uvoza ni mogoče inicializirati.",module,Magento_Directory
"Please specify the correct Import Service.","Navedite pravilno storitev uvoza.",module,Magento_Directory
"WARNING:","OPOZORILO:",module,Magento_Directory
"Please correct the country code: %1.","Popravite kodo države: %1.",module,Magento_Directory
"Country and Format Type combination should be unique","Kombinacija države in vrste oblike mora biti edinstvena",module,Magento_Directory
"Please correct the rates received","Popravite prejete stopnje",module,Magento_Directory
"Please select a region, state or province.","Izberite regijo, državo ali provinco.",module,Magento_Directory
"Currency","Valuta",module,Magento_Directory
"Your current currency is: %1.","Vaša trenutna valuta je: %1.",module,Magento_Directory
"Continue","Nadaljuj",module,Magento_Directory
"Currency Update Warnings","Opozorila posodobitev valut",module,Magento_Directory
"Currency Setup","Nastavitev valute",module,Magento_Directory
"Currency Options","Možnosti valute",module,Magento_Directory
"Base Currency","Osnovna valuta",module,Magento_Directory
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        Osnovna valuta je uporabljena za vse transakcije spletnih plačil. Če imate več kot en pogled trgovine, je obseg osnovne valute definiran z obsegom cene kataloga (""Katalog"" > ""Cena"" > ""Obseg cene kataloga"").
                    ",module,Magento_Directory
"Default Display Currency","Privzeta valuta prikaza",module,Magento_Directory
"Allowed Currencies","Dovoljene valute",module,Magento_Directory
"Webservicex","Webservicex",module,Magento_Directory
"Connection Timeout in Seconds","Časovna omejitev povezave v sekundah",module,Magento_Directory
"Scheduled Import Settings","Nastavitve načrtovanega uvoza",module,Magento_Directory
"Enabled","Omogočeno",module,Magento_Directory
"Error Email Recipient","Prejemnik e-pošte napake",module,Magento_Directory
"Error Email Sender","Pošiljatelj e-pošte napake",module,Magento_Directory
"Error Email Template","Predloga e-pošte napake",module,Magento_Directory
"Email template chosen based on theme fallback when ""Default"" option is selected.","Predloga e-pošte je izbrana glede na pomožno temo, ko je izbrana možnost ""Privzeto"".",module,Magento_Directory
"Frequency","Pogostost",module,Magento_Directory
"Service","Storitev",module,Magento_Directory
"Start Time","Začetni čas",module,Magento_Directory
"Installed Currencies","Nameščene valute",module,Magento_Directory
"Zip/Postal Code is Optional for","Poštna številka ni obvezna za",module,Magento_Directory
"State Options","Možnosti območja",module,Magento_Directory
"State is Required for","Območje je zahtevano za",module,Magento_Directory
"Allow to Choose State if It is Optional for Country","Dovoli izbiro regije, če je možna za državo",module,Magento_Directory
"Weight Unit","Enota teže",module,Magento_Directory
"We can't retrieve a rate from %1 for %2.","Stopnje iz %1 za %2 ni mogoče pridobiti.",module,Magento_Directory
"We can't retrieve a rate from %1.","Stopnje iz %1 ni mogoče pridobiti.",module,Magento_Directory
"We can't initialize the import model.","Modela uvoza ni mogoče inicializirati.",module,Magento_Directory
"
                        Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (Catalog"" > ""Price"" > ""Catalog Price Scope"").","
                        Osnovna valuta je uporabljena za vse transakcije spletnih plačil. Obseg osnovne valute je definiran z obsegom cene kataloga (""Katalog"" > ""Cena"" > ""Obseg cene kataloga"")."
",",","
"                        Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","                        Osnovna valuta je uporabljena za vse transakcije spletnih plačil. Obseg osnovne valute je definiran z obsegom cene kataloga (""Katalog"" > ""Cena"" > ""Obseg cene kataloga"")."
",module,Magento_Directory
Yahoo Finance Exchange""","Yahoo Finance Exchange",module,Magento_Directory
"Fixer.io","Fixer.io",module,Magento_Directory
