"Europe First Priority","Europe First Priority",module,Magento_Fedex
"1 Day Freight","1 Day Freight",module,Magento_Fedex
"2 Day Freight","2 Day Freight",module,Magento_Fedex
"2 Day","2 Day",module,Magento_Fedex
"2 Day AM","2 dan AM",module,Magento_Fedex
"3 Day Freight","3 Day Freight",module,Magento_Fedex
"Express Saver","Express Saver",module,Magento_Fedex
"Ground","Ground",module,Magento_Fedex
"First Overnight","First Overnight",module,Magento_Fedex
"Home Delivery","Dostava na dom",module,Magento_Fedex
"International Economy","International Economy",module,Magento_Fedex
"Intl Economy Freight","Intl Economy Freight",module,Magento_Fedex
"International First","International First",module,Magento_Fedex
"International Ground","International Ground",module,Magento_Fedex
"International Priority","International Priority",module,Magento_Fedex
"Intl Priority Freight","Intl Priority Freight",module,Magento_Fedex
"Priority Overnight","Priority Overnight",module,Magento_Fedex
"Smart Post","Smart Post",module,Magento_Fedex
"Standard Overnight","Standard Overnight",module,Magento_Fedex
"Freight","Freight",module,Magento_Fedex
"National Freight","National Freight",module,Magento_Fedex
"Regular Pickup","Regular Pickup",module,Magento_Fedex
"Request Courier","Request Courier",module,Magento_Fedex
"Drop Box","Drop Box",module,Magento_Fedex
"Business Service Center","Center za poslovne storitve",module,Magento_Fedex
"Station","Postaja",module,Magento_Fedex
"FedEx Envelope","FedEx ovojnica",module,Magento_Fedex
"FedEx Pak","FedEx Pak",module,Magento_Fedex
"FedEx Box","FedEx Box",module,Magento_Fedex
"FedEx Tube","FedEx Tube",module,Magento_Fedex
"FedEx 10kg Box","FedEx 10kg Box",module,Magento_Fedex
"FedEx 25kg Box","FedEx 25kg Box",module,Magento_Fedex
"Your Packaging","Vaše pakiranje",module,Magento_Fedex
"Not Required","Ni zahtevano",module,Magento_Fedex
"Adult","Za odrasle",module,Magento_Fedex
"Direct","Neposredno",module,Magento_Fedex
"Indirect","Posredno",module,Magento_Fedex
"Pounds","Funti",module,Magento_Fedex
"Kilograms","Kilogrami",module,Magento_Fedex
"For some reason we can\'t retrieve tracking info right now.","Iz neznanega razloga trenutno ni mogoče pridobiti informacij sledenja.",module,Magento_Fedex
"status","stanje",module,Magento_Fedex
"Empty response","Prazen odgovor",module,Magento_Fedex
"None","Brez",module,Magento_Fedex
"FedEx","FedEx",module,Magento_Fedex
"Enabled for Checkout","Enabled for Checkout",module,Magento_Fedex
"Title","Naslov",module,Magento_Fedex
"Account ID","ID računa",module,Magento_Fedex
"Please make sure to use only digits here. No dashes are allowed.","Preverite, da tukaj uporabljate samo številke. Črtice niso dovoljene.",module,Magento_Fedex
"Meter Number","Številka števca",module,Magento_Fedex
"Key","Ključ",module,Magento_Fedex
"Password","Geslo",module,Magento_Fedex
"Sandbox Mode","Način peskovnika",module,Magento_Fedex
"Web-Services URL (Production)","URL spletnih storitev (produkcija)",module,Magento_Fedex
"Web-Services URL (Sandbox)","URL spletnih storitev (Sandbox)",module,Magento_Fedex
"Packages Request Type","Vrsta zahteve paketov",module,Magento_Fedex
"Packaging","Pakiranje",module,Magento_Fedex
"Dropoff","Odložitev",module,Magento_Fedex
"Weight Unit","Enota teže",module,Magento_Fedex
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Največja teža paketa (posvetujte se z vašim prevoznikom za največjo podprto težo pošiljke)",module,Magento_Fedex
"Calculate Handling Fee","Izračun takse za stroške obdelave",module,Magento_Fedex
"Handling Applied","Uporabljena obdelava",module,Magento_Fedex
"Handling Fee","Taksa za stroške obdelave",module,Magento_Fedex
"Residential Delivery","Privatna dostava",module,Magento_Fedex
"Allowed Methods","Dovoljene metode",module,Magento_Fedex
"Hub ID","Hub ID",module,Magento_Fedex
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected.",module,Magento_Fedex
"Free Method","Brezplačen način",module,Magento_Fedex
"Free Shipping Amount Threshold","Free Shipping Amount Threshold",module,Magento_Fedex
"Displayed Error Message","Prikazano sporočilo napake",module,Magento_Fedex
"Ship to Applicable Countries","Ship to Applicable Countries",module,Magento_Fedex
"Ship to Specific Countries","Ship to Specific Countries",module,Magento_Fedex
"Debug","Debug",module,Magento_Fedex
"Show Method if Not Applicable","Show Method if Not Applicable",module,Magento_Fedex
"Sort Order","Vrstni red",module,Magento_Fedex
"Invalid response from carrier","Neveljaven odziv s strani prevoznika",module,Magento_Fedex
"No available tracking items","No available tracking items",module,Magento_Fedex
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now.",module,Magento_Fedex
"Field ","Field ",module,Magento_Fedex
" is required."," is required.",module,Magento_Fedex
"Enable Free Shipping Threshold","Enable Free Shipping Threshold",module,Magento_Fedex
