"Export","Izvoz",module,Magento_ImportExport
"Export Settings","Export Settings",module,Magento_ImportExport
"Entity Type","Entity Type",module,Magento_ImportExport
"Export File Format","Export File Format",module,Magento_ImportExport
"From","Iz",module,Magento_ImportExport
"To","Za",module,Magento_ImportExport
"We can\'t filter an attribute with no attribute options.","We can\'t filter an attribute with no attribute options.",module,Magento_ImportExport
"Exclude","Izključi",module,Magento_ImportExport
"Attribute Label","Attribute Label",module,Magento_ImportExport
"Attribute Code","Koda atributa",module,Magento_ImportExport
"Filter","Filter",module,Magento_ImportExport
"Unknown attribute filter type","Unknown attribute filter type",module,Magento_ImportExport
"Download","Prenos",module,Magento_ImportExport
"Check Data","Check Data",module,Magento_ImportExport
"Import","Uvoz",module,Magento_ImportExport
"Import Settings","Import Settings",module,Magento_ImportExport
"Import Behavior","Import Behavior",module,Magento_ImportExport
" "," ",module,Magento_ImportExport
"Allowed Errors Count","Allowed Errors Count",module,Magento_ImportExport
"Please specify number of errors to halt import process","Please specify number of errors to halt import process",module,Magento_ImportExport
"Field separator","Field separator",module,Magento_ImportExport
"Multiple value separator","Multiple value separator",module,Magento_ImportExport
"File to Import","File to Import",module,Magento_ImportExport
"Select File to Import","Select File to Import",module,Magento_ImportExport
"Images File Directory","Images File Directory",module,Magento_ImportExport
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir",module,Magento_ImportExport
"Download Sample File","Download Sample File",module,Magento_ImportExport
"Please correct the data sent value.","Please correct the data sent value.",module,Magento_ImportExport
"Import/Export","Import/Export",module,Magento_ImportExport
"History","History",module,Magento_ImportExport
"Import History","Zgodovina uvoza",module,Magento_ImportExport
"Import history","Zgodovina uvoza",module,Magento_ImportExport
"There is no sample file for this entity.","Za to entiteto ni nobene vzorčne datoteke.",module,Magento_ImportExport
"Status","Stanje",module,Magento_ImportExport
"Maximum error count has been reached or system error is occurred!","Doseženo je bilo največje število napak ali pa je prišlo do sistemske napake!",module,Magento_ImportExport
"Import successfully done","Uvoz uspešno opravljen",module,Magento_ImportExport
"This file is empty. Please try another one.","Ta datoteka je prazna. Poskusite z drugo.",module,Magento_ImportExport
"Data validation is failed. Please fix errors and re-upload the file..","Preverjanje veljavnosti podatkov ni uspelo. Odpravite napake in ponovno naložite datoteko.",module,Magento_ImportExport
"File is valid! To start import process press ""Import"" button","Datoteka je veljavna. Za začetek procesa uvoza pritisnite gumb ""Uvozi""",module,Magento_ImportExport
"The file is valid, but we can\'t import it for some reason.","Datoteka je veljavna, vendar iz neznanega razloga je ni mogoče uvoziti.",module,Magento_ImportExport
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4",module,Magento_ImportExport
"The file was not uploaded.","Datoteka ni bila prenesena.",module,Magento_ImportExport
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, but the data is invalid or the file is not uploaded.",module,Magento_ImportExport
"Show more","Prikaži več",module,Magento_ImportExport
"Additional data","Dodatni podatki",module,Magento_ImportExport
"Following Error(s) has been occurred during importing process:","Med procesom uvažanja je prišlo do naslednjih napak:",module,Magento_ImportExport
"Only first 100 errors are displayed here. ","Only first 100 errors are displayed here. ",module,Magento_ImportExport
"Download full report","Prenos celotnega poročila",module,Magento_ImportExport
"in rows:","v vrsticah:",module,Magento_ImportExport
"Make sure your file isn\'t more than %1M.","Poskrbite, da vaša datoteka ni večja od %1M.",module,Magento_ImportExport
"We can\'t provide the upload settings right now.","Trenutno ni mogoče podati nastavitev nalaganja.",module,Magento_ImportExport
"Created: %1, Updated: %2, Deleted: %3","Ustvarjeno: %1, posodobljeno: %2, izbrisano: %3",module,Magento_ImportExport
"Please enter a correct entity model.","Vnesite pravilen model entitete.",module,Magento_ImportExport
"The entity adapter object must be an instance of %1 or %2.","Objekt adapterja entitete mora biti instanca %1 ali %2.",module,Magento_ImportExport
"The input entity code is not equal to entity adapter code.","Koda entitete vnosa ni enaka kodi adapterja entitete.",module,Magento_ImportExport
"Please enter a correct entity.","Vnesite pravilno entiteto.",module,Magento_ImportExport
"The adapter object must be an instance of %1.","Objekt adapterja mora biti instanca %1.",module,Magento_ImportExport
"Please correct the file format.","Popravite obliko datoteke.",module,Magento_ImportExport
"Begin export of %1","Začni izvoz za %1",module,Magento_ImportExport
"There is no data for the export.","Ni podatkov za izvoz.",module,Magento_ImportExport
"Exported %1 rows.","Izvoženih vrstic: %1.",module,Magento_ImportExport
"The export is finished.","Izvoz je končan.",module,Magento_ImportExport
"Please provide filter data.","Navedite podatke filtra.",module,Magento_ImportExport
"We can\'t determine the attribute filter type.","Vrste filtra atributa ni mogoče določiti.",module,Magento_ImportExport
"Entity is unknown","Entiteta ni znana",module,Magento_ImportExport
"We can\'t identify this file format.","Te oblike datoteke ni mogoče identificirati.",module,Magento_ImportExport
"Please correct the value for ""%1"" column.","Popravite vrednost za stolpec ""%1"".",module,Magento_ImportExport
"Please specify the writer.","Navedite zapisovalnik.",module,Magento_ImportExport
"The destination file path must be a string.","Pot ciljne datoteke mora biti niz.",module,Magento_ImportExport
"The destination directory is not writable.","Ciljni imenik ni zapisljiv.",module,Magento_ImportExport
"Destination file is not writable","Ciljna datoteka ni zapisljiva",module,Magento_ImportExport
"The header column names are already set.","Imena stolpcev glav so že določena.",module,Magento_ImportExport
"Data validation is failed. Please fix errors and re-upload the file.","Preverjanje veljavnosti podatkov ni uspelo. Odpravite napake in ponovno naložite datoteko.",module,Magento_ImportExport
"in rows","v vrsticah",module,Magento_ImportExport
"The validation is complete.","Preverjanje veljavnosti je končano.",module,Magento_ImportExport
"This file does not contain any data.","Ta datoteka ne vsebuje nobenih podatkov.",module,Magento_ImportExport
"Begin import of ""%1"" with ""%2"" behavior","Začni uvoz ""%1"" z vedenjem ""%2""",module,Magento_ImportExport
"The import was successful.","Uvoz je bil uspešen.",module,Magento_ImportExport
"The file you uploaded has no extension.","Naložena datoteka nima končnice.",module,Magento_ImportExport
"The source file moving process failed.","Proces premikanja izvorne datoteke ni uspel.",module,Magento_ImportExport
"Begin data validation","Začni preverjanje podatkov",module,Magento_ImportExport
"Import data validation is complete.","Preverjanje podatkov uvoza je končano.",module,Magento_ImportExport
"The behavior token for %1 is invalid.","Žeton vedenja za %1 ni veljaven.",module,Magento_ImportExport
"Please enter a correct entity model","Vnesite pravilen model entitete",module,Magento_ImportExport
"Source file coping failed","Kopiranje izvorne datoteke ni bilo mogoče",module,Magento_ImportExport
"The source is not set.","Vir ni nastavljen.",module,Magento_ImportExport
"The adapter type must be a non-empty string.","Vrsta adapterja mora biti ne-prazen niz.",module,Magento_ImportExport
"\'%1\' file extension is not supported","\'%1\' pripona datoteke ni podprta",module,Magento_ImportExport
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter mora biti instanca \Magento\ImportExport\Model\Import\AbstractSource",module,Magento_ImportExport
"Please specify a source.","Navedite vir.",module,Magento_ImportExport
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Preverjanje veljavnosti podatkov uvoza - potrditvene strategije ni bilo mogoče najti",module,Magento_ImportExport
"Cannot get autoincrement value","Ni mogoče dobiti vrednosti samodejnega povečanja",module,Magento_ImportExport
"Error in data structure: %1 values are mixed","Napaka v podatkovni strukturi: %1 vrednosti so mešane",module,Magento_ImportExport
"-- Please Select --","-- Izberite --",module,Magento_ImportExport
"label","oznaka",module,Magento_ImportExport
"Add/Update","Dodaj/posodobi",module,Magento_ImportExport
"Replace","Zamenjaj",module,Magento_ImportExport
"Delete","Izbriši",module,Magento_ImportExport
"Note: Product IDs will be regenerated.","Opomba: ID-ji izdelkov bodo obnovljeni.",module,Magento_ImportExport
"Add/Update Complex Data","Dodaj/posodobi zapletene podatke",module,Magento_ImportExport
"Delete Entities","Izbriši entitete",module,Magento_ImportExport
"Custom Action","Dejanje po meri",module,Magento_ImportExport
"Error message","Sporočilo napake",module,Magento_ImportExport
"URL key for specified store already exists.","Ključ URL-ja za določeno trgovino že obstaja.",module,Magento_ImportExport
"Entity Attributes","Atributi entitete",module,Magento_ImportExport
"Continue","Nadaljuj",module,Magento_ImportExport
"Validation Results","Rezultati preverjanja",module,Magento_ImportExport
"ID","ID",module,Magento_ImportExport
"Start Date&Time","Začetni datum in čas",module,Magento_ImportExport
"User","Uporabnik",module,Magento_ImportExport
"Imported File","Uvožena datoteka",module,Magento_ImportExport
"Error File","Datoteka napak",module,Magento_ImportExport
"Execution Time","Čas izvajanja",module,Magento_ImportExport
"Summary","Povzetek",module,Magento_ImportExport
"Fields Enclosure","Fields Enclosure",module,Magento_ImportExport
"We can't filter an attribute with no attribute options.","We can't filter an attribute with no attribute options.",module,Magento_ImportExport
"Fields enclosure","Fields enclosure",module,Magento_ImportExport
"Data validation failed. Please fix the following errors and upload the file again.","Data validation failed. Please fix the following errors and upload the file again.",module,Magento_ImportExport
"The file is valid, but we can't import it for some reason.","The file is valid, but we can't import it for some reason.",module,Magento_ImportExport
"Only the first 100 errors are shown. ","Only the first 100 errors are shown. ",module,Magento_ImportExport
"in row(s):","in row(s):",module,Magento_ImportExport
"Make sure your file isn't more than %1M.","Make sure your file isn't more than %1M.",module,Magento_ImportExport
"We can't provide the upload settings right now.","We can't provide the upload settings right now.",module,Magento_ImportExport
"We can't determine the attribute filter type.","We can't determine the attribute filter type.",module,Magento_ImportExport
"We can't identify this file format.","We can't identify this file format.",module,Magento_ImportExport
"in row(s)","in row(s)",module,Magento_ImportExport
"'%1' file extension is not supported","'%1' file extension is not supported",module,Magento_ImportExport
