"Integrations","Integracije",module,Magento_Integration
"Add New Integration","Dodaj novo integracijo",module,Magento_Integration
"API","API",module,Magento_Integration
"Save","Shrani",module,Magento_Integration
"Save & Activate","Shrani in aktiviraj",module,Magento_Integration
"New Integration","Nova integracija",module,Magento_Integration
"Edit Integration '%1'","Urejanje integracije '%1'",module,Magento_Integration
"Integration Info","Informacije integracije",module,Magento_Integration
"General","Splošno",module,Magento_Integration
"Name","Ime",module,Magento_Integration
"Email","E-pošta",module,Magento_Integration
"Callback URL","URL povratnega klica",module,Magento_Integration
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Vnesite URL, kamor se lahko pošlje poverilnice Oauth, ko se uporablja Oauth za izmenjavo žetona. Toplo priporočamo uporabo https://.",module,Magento_Integration
"Identity link URL","URL povezave identitete",module,Magento_Integration
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL preusmeritve uporabnika na njegov tretje osebni račun s temi poverilnicami integracije Magento.",module,Magento_Integration
"Integration Details","Podrobnosti povezovanja",module,Magento_Integration
"Basic Settings","Osnovne nastavitve",module,Magento_Integration
"Integration Tokens for Extensions","Žetoni integracije za razširitve",module,Magento_Integration
"Consumer Key","Potrošniški ključ",module,Magento_Integration
"Consumer Secret","Potrošniška skrivna vrednost",module,Magento_Integration
"Access Token","Žeton za dostop",module,Magento_Integration
"Access Token Secret","Skrivna vrednost žetona za dostop",module,Magento_Integration
"Uninstall the extension to remove this integration","Odstranite razširitev, da odstranite to integracijo",module,Magento_Integration
"Remove","Odstrani",module,Magento_Integration
"View","Pogled",module,Magento_Integration
"Edit","Uredi",module,Magento_Integration
"Activate","Aktiviraj",module,Magento_Integration
"Reauthorize","Ponovno avtoriziraj",module,Magento_Integration
"Uninstall the extension to remove integration '%1'.","Odstranite dodatek, da odstranite integracijo '%1'.",module,Magento_Integration
"This integration no longer exists.","Ta integracija več ne obstaja.",module,Magento_Integration
"The integration '%1' has been deleted.","Integracija '%1' je bila izbrisana.",module,Magento_Integration
"Integration ID is not specified or is invalid.","ID integracije ni naveden ali pa je neveljaven.",module,Magento_Integration
"Internal error. Check exception log for details.","Notranja napaka. Preverite dnevnik izjem za podrobnosti.",module,Magento_Integration
"View ""%1"" Integration","Poglej integracijo ""%1""",module,Magento_Integration
"Edit ""%1"" Integration","Uredi integracijo ""%1""",module,Magento_Integration
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Opozorilo! Integracije, ki ne uporabljajo HTTPS niso varne in potencialno izpostavljajo zasebne ali osebne prepoznavne informacije",module,Magento_Integration
"The integration \'%1\' has been saved.","Integracija \'%1\' je bila shranjena.",module,Magento_Integration
"The integration was not saved.","Integracija ni bila shranjena.",module,Magento_Integration
"The integration '%1' has been re-authorized.","Integracija '%1' je bila ponovno dovoljena.",module,Magento_Integration
"The integration '%1' has been activated.","Integracija '%1' je bila aktivirana.",module,Magento_Integration
