"Make Check payable to:","Make Check payable to:",module,Magento_OfflinePayments
"Send Check to:","Send Check to:",module,Magento_OfflinePayments
"Purchase Order Number","Purchase Order Number",module,Magento_OfflinePayments
"Make Check payable to: %1","Make Check payable to: %1",module,Magento_OfflinePayments
"Purchase Order Number: %1","Purchase Order Number: %1",module,Magento_OfflinePayments
"Make Check payable to","Make Check payable to",module,Magento_OfflinePayments
"Send Check to","Send Check to",module,Magento_OfflinePayments
"Check / Money Order","Naročilo s čekom/denarjem",module,Magento_OfflinePayments
"Enabled","Omogočeno",module,Magento_OfflinePayments
"New Order Status","New Order Status",module,Magento_OfflinePayments
"Sort Order","Vrstni red",module,Magento_OfflinePayments
"Title","Naslov",module,Magento_OfflinePayments
"Payment from Applicable Countries","Payment from Applicable Countries",module,Magento_OfflinePayments
"Payment from Specific Countries","Payment from Specific Countries",module,Magento_OfflinePayments
"Make Check Payable to","Naredi ček plačilen za",module,Magento_OfflinePayments
"Minimum Order Total","Najmanjši skupni znesek naročila",module,Magento_OfflinePayments
"Maximum Order Total","Največji skupni znesek naročila",module,Magento_OfflinePayments
"Purchase Order","Opravi nakup naročila",module,Magento_OfflinePayments
"Bank Transfer Payment","Plačilo z bančnim nakazilom",module,Magento_OfflinePayments
"Instructions","Navodila",module,Magento_OfflinePayments
"Cash On Delivery Payment","Plačilo po povzetju",module,Magento_OfflinePayments
"Zero Subtotal Checkout","Zero Subtotal Checkout",module,Magento_OfflinePayments
"Automatically Invoice All Items","Automatically Invoice All Items",module,Magento_OfflinePayments
"Place Order","Place Order",module,Magento_OfflinePayments
