"Country","Država",module,Magento_OfflineShipping
"Region/State","Država/regija",module,Magento_OfflineShipping
"Zip/Postal Code","Poštna številka",module,Magento_OfflineShipping
"Shipping Price","Cena dostave",module,Magento_OfflineShipping
"Export CSV","Izvoz v CSV",module,Magento_OfflineShipping
"Store Pickup","Osebni prevzem",module,Magento_OfflineShipping
"Weight vs. Destination","Teža glede na destinacijo",module,Magento_OfflineShipping
"Price vs. Destination","Cena glede na destinacijo",module,Magento_OfflineShipping
"# of Items vs. Destination","# elementov glede na destinacijo",module,Magento_OfflineShipping
"Weight (and above)","Teža (in več)",module,Magento_OfflineShipping
"Order Subtotal (and above)","Delni znesek naročila (in več)",module,Magento_OfflineShipping
"# of Items (and above)","# elementov (in več)",module,Magento_OfflineShipping
"Please correct Table Rate code type: %1.","Popravite vrsto kode stopnje tabele: %1.",module,Magento_OfflineShipping
"Please correct Table Rate code for type %1: %2.","Popravite vrsto kode stopnje tabele za vrsto %1: %2.",module,Magento_OfflineShipping
"None","Brez",module,Magento_OfflineShipping
"Per Order","Na naročilo",module,Magento_OfflineShipping
"Per Item","Na element",module,Magento_OfflineShipping
"Please correct Table Rates File Format.","Popravite format datoteke stopenj tabele.",module,Magento_OfflineShipping
"Something went wrong while importing table rates.","Med uvozom stopenj tabele je šlo nekaj narobe.",module,Magento_OfflineShipping
"We couldn\'t import this file because of these errors: %1","Te datoteke nismo uspeli uvoziti zaradi sledečih napak: %1",module,Magento_OfflineShipping
"Please correct Table Rates format in the Row #%1.","Popravite format stopenj tabel v vrstici #%1.",module,Magento_OfflineShipping
"Please correct Country ""%1"" in the Row #%2.","Popravite državo ""%1"" v vrstici #%2.",module,Magento_OfflineShipping
"Please correct Region/State ""%1"" in the Row #%2.","Popravite regijo/provinco ""%1"" v vrstici #%2.",module,Magento_OfflineShipping
"Please correct %1 ""%2"" in the Row #%3.","Popravite %1 ""%2"" v vrstici #%3.",module,Magento_OfflineShipping
"Please correct Shipping Price ""%1"" in the Row #%2.","Popravite ceno dostave ""%1"" v vrstici #%2.",module,Magento_OfflineShipping
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Podvojena vrstica #%1 (Država ""%2"", regija/provinca ""%3"", poštna številka ""%4"" in vrednost ""%5"")",module,Magento_OfflineShipping
"Free Shipping","Brezplačna dostava",module,Magento_OfflineShipping
"No","Ne",module,Magento_OfflineShipping
"For matching items only","Samo za ustrezne elemente",module,Magento_OfflineShipping
"For shipment with matching items","Za dostavo z ustreznimi elementi",module,Magento_OfflineShipping
"Flat Rate","Pavšalno",module,Magento_OfflineShipping
"Enabled","Omogočeno",module,Magento_OfflineShipping
"Method Name","Ime načina",module,Magento_OfflineShipping
"Price","Cena",module,Magento_OfflineShipping
"Calculate Handling Fee","Izračun takse za stroške obdelave",module,Magento_OfflineShipping
"Handling Fee","Taksa za stroške obdelave",module,Magento_OfflineShipping
"Sort Order","Vrstni red",module,Magento_OfflineShipping
"Title","Naslov",module,Magento_OfflineShipping
"Type","Vrsta",module,Magento_OfflineShipping
"Ship to Applicable Countries","Dostava v države, ki se uporabljajo",module,Magento_OfflineShipping
"Ship to Specific Countries","Dostava v določene države",module,Magento_OfflineShipping
"Show Method if Not Applicable","Prikaži način, če ni v uporabi",module,Magento_OfflineShipping
"Displayed Error Message","Prikazano sporočilo napake",module,Magento_OfflineShipping
"Table Rates","Stopnje tabel",module,Magento_OfflineShipping
"Condition","Pogoj",module,Magento_OfflineShipping
"Include Virtual Products in Price Calculation","V kalkulaciji cene vključi virtualne izdelke",module,Magento_OfflineShipping
"Export","Izvoz",module,Magento_OfflineShipping
"Import","Uvoz",module,Magento_OfflineShipping
"Minimum Order Amount","Najmanjši znesek naročila",module,Magento_OfflineShipping
"Unable to import data","Podatkov ni mogoče uvoziti",module,Magento_OfflineShipping
"We couldn't import this file because of these errors: %1","Te datoteke nismo uspeli uvoziti zaradi sledečih napak: %1",module,Magento_OfflineShipping
"Requested column %1"" cannot be resolved""","Zahtevanega stolpca %1 ni mogoče razrešiti",module,Magento_OfflineShipping
"Column %1"" not found""","Stolpca %1 "" ni mogoče najti""",module,Magento_OfflineShipping
"Duplicate Row #%1 (duplicates row #%2)","Podvojena vrstica #%1 (podvaja vrstico #%2)",module,Magento_OfflineShipping
"Field ","Polje ",module,Magento_OfflineShipping
" is required."," je obvezno.",module,Magento_OfflineShipping
"-- Please Select --","-- Izberite --",module,Magento_OfflineShipping
