"Apply","Uporabi",module,Magento_Rule
"Please choose a valid discount amount.","Izberite veljaven znesek popusta.",module,Magento_Rule
"End Date must follow Start Date.","Končni datum mora slediti začetnemu datumu.",module,Magento_Rule
"Please specify a website.","Navedite spletno stran.",module,Magento_Rule
"Please specify Customer Groups.","Določite skupine kupcev.",module,Magento_Rule
"to","za",module,Magento_Rule
"by","po",module,Magento_Rule
"Please choose an action to add.","Izberite dejanje za dodajanje.",module,Magento_Rule
"Perform following actions","Opravi sledeča dejanja",module,Magento_Rule
"is","je",module,Magento_Rule
"is not","ni",module,Magento_Rule
"equals or greater than","enako ali večje od",module,Magento_Rule
"equals or less than","enako ali manjše od",module,Magento_Rule
"greater than","večje od",module,Magento_Rule
"less than","manj kot",module,Magento_Rule
"contains","vsebuje",module,Magento_Rule
"does not contain","ne vsebuje",module,Magento_Rule
"is one of","je eden od",module,Magento_Rule
"is not one of","ni eden od",module,Magento_Rule
"Please choose a condition to add.","Izberite pogoj za dodati.",module,Magento_Rule
"Add","Dodaj",module,Magento_Rule
"Remove","Odstrani",module,Magento_Rule
"ALL","VSE",module,Magento_Rule
"ANY","VSE",module,Magento_Rule
"TRUE","TRUE",module,Magento_Rule
"FALSE","FALSE",module,Magento_Rule
"If %1 of these conditions are %2:","Če za %1 od teh pogojev velja %2:",module,Magento_Rule
"Conditions Combination","Kombinacija pogojev",module,Magento_Rule
"Attribute Set","Nabor atributov",module,Magento_Rule
"Category","Kategorija",module,Magento_Rule
"Open Chooser","Odpri izbirnik",module,Magento_Rule
"Unknown condition operator","Neznan pogojni operator",module,Magento_Rule
"There is no information about associated entity type ""%1"".","Ni podatkov o vrsti povezane entitete ""%1"".",module,Magento_Rule
"This won't take long . . .","Ne bo dolgo trajalo ...",module,Magento_Rule
