"General","Splošno",module,Magento_Sales
"Hide Customer IP","Skrij IP kupca",module,Magento_Sales
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Izberi, ali naj bo IP kupca prikazan v naročilih, računih, dobavnicah in dobropisih.",module,Magento_Sales
"Checkout Totals Sort Order","Vrstni red skupnih vsot nakupov",module,Magento_Sales
"Allow Reorder","Dovoli ponovno naročilo",module,Magento_Sales
"Invoice and Packing Slip Design","Oblika računa in dobavnice",module,Magento_Sales
"Logo for PDF Print-outs (200x50)","Logotip za PDF izpise (200x50)",module,Magento_Sales
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Vaš privzeti logotip bo uporabljen v PDF in HTML dokumentih.<br />(jpeg, tiff, png) Če je slika vašega PDF izkrivljena, poskusite uporabiti večjo velikost slike.
                    ",module,Magento_Sales
"Logo for HTML Print View","Logotip za pogled HTML tiskanja",module,Magento_Sales
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo samo za HTML dokumente. Če je prazno, bo uporabljen privzeti.<br />(jpeg, gif, png)
                    ",module,Magento_Sales
"Address","Naslov",module,Magento_Sales
"Minimum Order Amount","Najmanjši znesek naročila",module,Magento_Sales
"Enable","Omogoči",module,Magento_Sales
"Minimum Amount","Najmanjši znesek",module,Magento_Sales
"Subtotal after discount","Delna vsota po popustu",module,Magento_Sales
"Include Tax to Amount","Znesku dodaj davek",module,Magento_Sales
"Description Message","Sporočilo opisa",module,Magento_Sales
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","To sporočilo se bo prikazalo v košarici, ko bo delna vsota (po popustu) manjša od najmanjšega dovoljenega zneska.",module,Magento_Sales
"Error to Show in Shopping Cart","Napaka za prikaz v košarici",module,Magento_Sales
"Validate Each Address Separately in Multi-address Checkout","Preveri vsak naslov posebej v nakupu z večimi naslovi",module,Magento_Sales
"Multi-address Description Message","Sporočilo opisa večih naslovov",module,Magento_Sales
"We'll use the default description above if you leave this empty.","Če pustite to prazno, bomo uporabili privzeti opis zgoraj.",module,Magento_Sales
"Multi-address Error to Show in Shopping Cart","Napaka večih naslovov za prikaz v košarici",module,Magento_Sales
"We'll use the default error above if you leave this empty.","Če pustite to prazno, bomo uporabili privzeto napako zgoraj.",module,Magento_Sales
"Dashboard","Nadzorna plošča",module,Magento_Sales
"Use Aggregated Data (beta)","Uporabi združene podatke (beta)",module,Magento_Sales
"Orders Cron Settings","Nastavitve periodičnega opravila naročil",module,Magento_Sales
"Pending Payment Order Lifetime (minutes)","Življenjska doba naročil s plačili na čakanju (v minutah)",module,Magento_Sales
"Sales Emails","E-pošte prodaje",module,Magento_Sales
"Asynchronous sending","Asinhrono pošiljanje",module,Magento_Sales
"Enabled","Omogočeno",module,Magento_Sales
"New Order Confirmation Email Sender","Pošiljatelj e-pošte potrditve novega naročila",module,Magento_Sales
"New Order Confirmation Template","Predloga potrditve novega naročila",module,Magento_Sales
"Email template chosen based on theme fallback when ""Default"" option is selected.","Predloga e-pošte je izbrana glede na pomožno temo, ko je izbrana možnost ""Privzeto"".",module,Magento_Sales
"New Order Confirmation Template for Guest","Nova predloga potrditve naročila za gosta",module,Magento_Sales
"Send Order Email Copy To","Pošlji kopijo e-pošte naročila na",module,Magento_Sales
"Comma-separated","Ločeno z vejico",module,Magento_Sales
"Send Order Email Copy Method","Način pošiljanja kopije e-pošte naročila",module,Magento_Sales
"Order Comment Email Sender","Pošiljatelj e-pošte komentarja naročila",module,Magento_Sales
"Order Comment Email Template","Predloga e-pošte komentarja naročila",module,Magento_Sales
"Order Comment Email Template for Guest","Predloga e-pošte komentarja naročila za gosta",module,Magento_Sales
"Send Order Comment Email Copy To","Pošlji kopijo e-pošte komentarja naročila na",module,Magento_Sales
"Send Order Comments Email Copy Method","Način pošljanja kopije e-pošte komentarjev naročila",module,Magento_Sales
"Invoice Email Sender","Pošiljatelj e-pošte računa",module,Magento_Sales
"Invoice Email Template","Predloga e-pošte računa",module,Magento_Sales
"Invoice Email Template for Guest","Predloga e-pošte računa za gosta",module,Magento_Sales
"Send Invoice Email Copy To","Pošlji kopijo e-pošte računa na",module,Magento_Sales
"Send Invoice Email Copy Method","Način pošiljanja kopije e-pošte računa",module,Magento_Sales
"Invoice Comment Email Sender","Pošiljatelj e-pošte komentarja računa",module,Magento_Sales
"Invoice Comment Email Template","Predloga e-pošte komentarja naročila",module,Magento_Sales
"Invoice Comment Email Template for Guest","Predloga e-pošte komentarja računa za gosta",module,Magento_Sales
"Send Invoice Comment Email Copy To","Pošlji kopijo e-pošte komentarja računa na",module,Magento_Sales
"Send Invoice Comments Email Copy Method","Način pošljanja kopije e-pošte komentarjev računa",module,Magento_Sales
"Shipment","Pošiljka",module,Magento_Sales
"Shipment Email Sender","Pošiljatelj e-pošte pošiljke",module,Magento_Sales
"Shipment Email Template","Predloga e-pošte pošiljke",module,Magento_Sales
"Shipment Email Template for Guest","Predloga e-pošte pošiljke za gosta",module,Magento_Sales
"Send Shipment Email Copy To","Pošlji kopijo e-pošte pošiljke na",module,Magento_Sales
"Send Shipment Email Copy Method","Način pošiljanja kopije e-pošte pošiljke",module,Magento_Sales
"Shipment Comments","Shipment Comments",module,Magento_Sales
"Shipment Comment Email Sender","Pošiljatelj e-pošte komentarja pošiljke",module,Magento_Sales
"Shipment Comment Email Template","Predloga e-pošte komentarja dostave",module,Magento_Sales
"Shipment Comment Email Template for Guest","Predloga e-pošte komentarja dostave za gosta",module,Magento_Sales
"Send Shipment Comment Email Copy To","Pošlji kopijo e-pošte komentarja dostave na",module,Magento_Sales
"Send Shipment Comments Email Copy Method","Način pošiljanja kopije e-pošte komentarja dostave",module,Magento_Sales
"Credit Memo Email Sender","Pošiljatelj e-pošte dobropisa",module,Magento_Sales
"Credit Memo Email Template","Predloga e-pošte dobropisa",module,Magento_Sales
"Credit Memo Email Template for Guest","Predloga e-pošte dobropisa za gosta",module,Magento_Sales
"Send Credit Memo Email Copy To","Pošlji kopijo e-pošte dobropisa na",module,Magento_Sales
"Send Credit Memo Email Copy Method","Način pošljanja kopije e-pošte dobropisa",module,Magento_Sales
"Credit Memo Comment Email Sender","Pošiljatelj e-pošte komentarja dobropisa",module,Magento_Sales
"Credit Memo Comment Email Template","Predloga e-pošte komentarja dobropisa",module,Magento_Sales
"Credit Memo Comment Email Template for Guest","Predloga e-pošte komentarja dobropisa za gosta",module,Magento_Sales
"Send Credit Memo Comment Email Copy To","Pošlji kopijo e-pošte komentarja dobropisa na",module,Magento_Sales
"Send Credit Memo Comments Email Copy Method","Način pošiljanja kopije e-pošte komentarja dobropisa",module,Magento_Sales
"PDF Print-outs","PDF izpisi",module,Magento_Sales
"Display Order ID in Header","Prikaži ID naročila v glavi",module,Magento_Sales
"Customer Order Status Notification","Obvestilo o stanju naročila kupca",module,Magento_Sales
"Asynchronous indexing","Asinhrono indeksiranje",module,Magento_Sales
"Orders and Returns Search Form","Obrazec iskanja za naročila in reklamacije",module,Magento_Sales
"Anchor Custom Title","Anchor Custom Title",module,Magento_Sales
"Template","Predloga",module,Magento_Sales
"Default Template","Privzeta predloga",module,Magento_Sales
"Name","Ime",module,Magento_Sales
"Phone","Phone",module,Magento_Sales
