"Code","Koda",module,Magento_TaxImportExport
"Country","Država",module,Magento_TaxImportExport
"State","Država",module,Magento_TaxImportExport
"Zip/Post Code","Poštna številka",module,Magento_TaxImportExport
"Rate","Stopnja",module,Magento_TaxImportExport
"Zip/Post is Range","Poštna številka je obseg",module,Magento_TaxImportExport
"Range From","Obseg od",module,Magento_TaxImportExport
"Range To","Obseg do",module,Magento_TaxImportExport
"Tax Zones and Rates","Davčna območja in stopnje",module,Magento_TaxImportExport
"Import and Export Tax Rates","Uvoz in izvoz davčnih stopenj",module,Magento_TaxImportExport
"The tax rate has been imported.","Davčna stopnja je bila uvožena.",module,Magento_TaxImportExport
"Invalid file upload attempt","Poskus nalaganja neveljavne datoteke",module,Magento_TaxImportExport
"Invalid file upload attempt.","Poskus nalaganja neveljavne datoteke.",module,Magento_TaxImportExport
"Invalid file format.","Neveljavna oblika datoteke.",module,Magento_TaxImportExport
"One of the countries has invalid code.","Ena izmed držav nima veljavne kode.",module,Magento_TaxImportExport
"Import Tax Rates","Uvoz davčnih stopenj",module,Magento_TaxImportExport
"Export Tax Rates","Izvoz davčne stopnje",module,Magento_TaxImportExport
"CSV","CSV",module,Magento_TaxImportExport
"Excel XML","Excel XML",module,Magento_TaxImportExport
