"Add Tax","Dodaj davek",module,Magento_Weee
"Delete Tax","Izbriši davek",module,Magento_Weee
"All Websites","Vse spletne strani",module,Magento_Weee
"FPT","FPT",module,Magento_Weee
"We found a duplicate of website, country and state fields for a fixed product tax","Najdena so bila podvojena polja spletna stran, država in regija za fiksni davek izdelka",module,Magento_Weee
"Including FPT only","Vključuje samo FPT",module,Magento_Weee
"Including FPT and FPT description","Vključno s FPT in opisom FPT",module,Magento_Weee
"Excluding FPT. Including FPT description and final price","Brez FPT. Vključno z opisom FPT in končno ceno",module,Magento_Weee
"Excluding FPT","Brez FPT",module,Magento_Weee
"label_value","label_value",module,Magento_Weee
"frontend_label","frontend_label",module,Magento_Weee
"Fixed Product Tax","Fiksni davek izdelka",module,Magento_Weee
"Excl. Tax","Brez davka",module,Magento_Weee
"Total","Skupaj",module,Magento_Weee
"Incl. Tax","Z davkom",module,Magento_Weee
"Total Incl. Tax","Skupaj z davkom",module,Magento_Weee
"Website","Spletna stran",module,Magento_Weee
"Country/State","Država/regija",module,Magento_Weee
"Tax","Davek",module,Magento_Weee
"Action","Dejanje",module,Magento_Weee
"Final Price","Končna cena",module,Magento_Weee
"Fixed Product Taxes","Fiksni davki izdelkov",module,Magento_Weee
"Enable FPT","Omogoči fiksni davek izdelkov",module,Magento_Weee
"Display Prices In Product Lists","Prikaz cen v seznamih izdelkov",module,Magento_Weee
"Display Prices On Product View Page","Prikaz cen na strani ogleda izdelka",module,Magento_Weee
"Display Prices In Sales Modules","Prikaz cen v modulih prodaje",module,Magento_Weee
"Display Prices In Emails","Prikaz cen v e-poštah",module,Magento_Weee
"Apply Tax To FPT","Uporabi davek za fiksni davek izdelkov",module,Magento_Weee
"Include FPT In Subtotal","Vključi fiksni davek izdelkov v delni vsoti",module,Magento_Weee
"You must set unique country-state combinations within the same fixed product tax","Nastaviti morate unikatno kombinacijo države-regije znotraj istega fiksnega davka izdelka",module,Magento_Weee
